Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
MdBW8wafZZ8,Indigenous Communities Hold the KEY to Saving the Planet,"Sep 15, 2025",107,108,0.1436,0,137,0
JkH4XIHfnJU,This 200 Year Old Myth Is Still Draining Your Wallet!,"Aug 7, 2025",692,102,5.5476,2,5949,1.01
Oc7oq292HkM,The Armenian Genocide: Facts and Myths,"Sep 1, 2025",753,102,5.9899,4,2087,3.55
0ItV75cadvM,The SHOCKING Truth About Kashmir's Century of Pain #history,"Aug 14, 2025",53,101,0.1638,0,37,0
UxsXdUj0EhU,Nagorno Karabakh: The Myths and the Madness,"Sep 8, 2025",842,100,6.5652,0,1150,4.43
n-CUSE4bDvg,Why Cyprus Remains Divided After 50 Years | Turkey vs Greece Explained,"Sep 21, 2025",556,91,4.3758,2,2597,2.35
1I5qT_REo-o,What Really Happened on May 27th 1915? #history,"Sep 6, 2025",35,90,0.0805,0,124,0.81
Ac-k2p9Gvj4,10 Myths About the Middle East Busted!,"Jul 24, 2025",567,90,4.0118,1,2849,2.18
LrthC_8Hb2Y,How a 1947 Drawing Changed the World!,"Aug 20, 2025",282,90,3.4582,2,2896,1.86
izi51CGpcAg,How Geopolitical Myths Become Breaking News,"Sep 21, 2025",34,87,0.0675,0,45,0
QCRhdNl-Id8,Shocking Truth About Peru's Protests!,"Oct 12, 2025",40,82,0.0859,0,176,1.14
a04fOAhdcJo,GPS Could Fix This Border War in 24 Hours. Here's Why They Won't.,"Oct 4, 2025",34,82,0.126,0,101,0.99
GL7wE7GF4G0,I Investigated The Dark History Of KASHMIR's 1846 Treaty,"Aug 16, 2025",40,80,0.0982,0,59,3.39
7gSpjlgzkp0,The Surprising Truth About Middle East Borders!,"Jul 26, 2025",55,75,0.0444,0,148,0
QgDJSu0Y5K0,The Wall the World Forgot: Western Sahara Explained,"Oct 16, 2025",667,73,3.6635,2,2491,1.73
g5jxKyb_6Mo,The Embarrassing Map Mistake of 1292!,"Aug 25, 2025",71,73,0.0775,0,175,1.14
X0dO-aJx-aQ,The Genocide You Were Never Taught About,"Sep 12, 2025",559,69,2.898,4,453,5.74
CoK_ObIZKqc,How ExxonMobil Changed Guiana Forever!,"Oct 20, 2025",51,68,0.0452,0,95,2.11
6SdfqTYPviQ,"Ukraine Isn’t Fake, 1,000 Years of History vs Putin’s Myth","Jul 10, 2025",595,66,2.5579,2,1067,3.94
b2Ojli3NMN4,Are We Being Tricked By History Myths? #history,"Jul 30, 2025",54,58,0.0437,0,94,0
jLQpkKYnPFI,My Wife's Ancestors Suffering Was Good? I Froze.,"Oct 14, 2025",62,56,0.1162,0,1223,0.65
z3-HBePvdkE,"How 2,000 Planes Were Destroyed in One Day! #history","Jul 22, 2025",45,56,0.0584,0,115,0.87
4JekgdHI4f4,The Surprising Truth Behind Lebanon's Civil War! #history,"Jul 28, 2025",48,55,0.0623,0,485,0.62
Y-D3pL-cMOA,Why The World Ignores Moroccan Settlements But Condemns Israeli Ones,"Oct 18, 2025",117,43,0.586,0,301,3.99
ZblSI_oHEf8,How the KGB is Shaping Your Reality Today,"Sep 29, 2025",39,40,0.0731,0,796,0.5
yMAWJcjo_ug,Debunking Begins! Why I Started ‘History vs Hype’,"Jun 27, 2025",478,38,1.2917,2,197,10.15
499YLd1BHZ4,The Truth About NATO Expansion (and Putin’s Claims),"Sep 10, 2025",342,37,1.4549,2,1051,2.19
FZepPRsaPEo,How Morocco Changed History With One Bold Move,"Oct 20, 2025",72,37,0.1732,0,493,1.62
71xY0Pt4T-M,The Fake History Behind Russia's Invasion of Georgia,"Jul 16, 2025",360,32,0.6771,0,730,3.15
d1Bx3uptNuo,Why KOSOVO's TRUE Story Is The Key to Stopping Future conflict,"Sep 18, 2025",731,27,1.6385,1,378,3.7
zFv3FeKzddQ,Why Europe Lets Morocco Control Africa's Last Colony,"Oct 17, 2025",96,27,0.1466,0,305,2.3
2RQWu-cyO90,The Birka Grave: DNA Proof That Female Viking Warriors Existed,"Oct 24, 2025",606,26,1.1488,0,732,2.19
6GybGd_q25w,Why Peru's Poorest Regions Are Still the Same After 450 Years,"Oct 10, 2025",754,26,1.7339,0,818,1.47
7Z_RdXUw7Kw,The Battle For Africa's Last Colony,"Oct 16, 2025",66,26,0.1909,0,363,1.65
jLZngVFKWVg,"Why Mali, Niger and Burkina Faso Expelled France From the Sahel","Oct 1, 2025",812,25,1.0155,1,859,2.21
xODFE2Pyubo,Why CAMBODIA and THAILAND Keep Fighting Over This Temple,"Oct 3, 2025",442,22,0.7398,0,488,2.46
z8jMLid9-PM,Gold Mining Is Poisoning This Village!,"Oct 22, 2025",61,20,0.0697,0,40,0
ijKvAmv_BsY,What Really Happened in Kosovo?,"Sep 20, 2025",37,17,0.045,0,150,0.67
vYxcaN7XG9Y,Kosovo Myths vs Facts,"Sep 19, 2025",37,13,0.0243,0,80,1.25
XTJB6LNrjR0,What Archaeology Reveals About Jewish Roots! #history,"Jul 29, 2025",42,3,0.0059,0,135,0
